theta_deg,phi_deg,s01662,s01246,s01572,s00750,s00301
dphase_x_deg,,5.508353,27.860270,-19.604601,46.080185,47.701141
dphase_y_deg,,-147.927048,-164.031433,-157.550903,-148.127121,147.552429
phi_peak_deg,,92.500000,99.500000,82.500000,107.500000,-107.500000
theta_peak_deg,,54.000000,65.000000,60.000000,58.000000,58.000000
0.000000,-179.500000,-18.923828,-31.246094,-54.351562,-44.587891,-39.097656
1.000000,-179.500000,-18.066406,-35.839844,-61.476562,-40.447266,-48.457031
2.000000,-179.500000,-18.041016,-40.277344,-55.539062,-34.798828,-37.441406
3.000000,-179.500000,-18.378906,-30.285156,-53.351562,-31.900391,-33.476562
4.000000,-179.500000,-19.533203,-25.390625,-52.664062,-30.416016,-31.289062
5.000000,-179.500000,-21.271484,-21.984375,-52.414062,-30.423828,-30.679688
6.000000,-179.500000,-24.078125,-19.742188,-52.789062,-31.994141,-31.644531
7.000000,-179.500000,-27.703125,-18.152344,-52.351562,-37.150391,-34.160156
8.000000,-179.500000,-32.796875,-17.285156,-61.664062,-37.212891,-50.832031
9.000000,-179.500000,-49.796875,-16.894531,-53.976562,-28.486328,-32.613281
10.000000,-179.500000,-34.929688,-17.199219,-50.976562,-23.650391,-26.589844
11.000000,-179.500000,-31.789062,-17.988281,-49.351562,-20.736328,-22.933594
12.000000,-179.500000,-31.191406,-19.691406,-49.289062,-18.955078,-20.562500
13.000000,-179.500000,-32.007812,-21.917969,-48.976562,-17.689453,-18.906250
14.000000,-179.500000,-34.425781,-25.410156,-49.851562,-17.158203,-18.179688
15.000000,-179.500000,-38.117188,-29.871094,-55.476562,-17.033203,-17.695312
16.000000,-179.500000,-46.015625,-40.402344,-54.414062,-17.791016,-18.119141
17.000000,-179.500000,-41.781250,-35.777344,-50.101562,-18.689453,-18.722656
18.000000,-179.500000,-37.656250,-31.402344,-48.695312,-20.326172,-19.962891
19.000000,-179.500000,-35.996094,-29.941406,-47.882812,-22.548828,-21.648438
20.000000,-179.500000,-35.621094,-30.230469,-47.351562,-25.974609,-24.488281
21.000000,-179.500000,-36.531250,-31.636719,-48.445312,-30.478516,-28.335938
22.000000,-179.500000,-38.562500,-33.730469,-47.601562,-39.962891,-32.613281
23.000000,-179.500000,-41.328125,-36.308594,-64.414062,-38.650391,-50.925781
24.000000,-179.500000,-55.078125,-46.496094,-50.914062,-33.330078,-35.253906
25.000000,-179.500000,-42.625000,-37.277344,-48.945312,-31.306641,-32.253906
26.000000,-179.500000,-39.781250,-35.261719,-48.039062,-31.142578,-31.277344
27.000000,-179.500000,-38.781250,-34.675781,-47.789062,-32.158203,-31.683594
28.000000,-179.500000,-38.890625,-35.082031,-47.539062,-34.431641,-33.429688
29.000000,-179.500000,-39.710938,-35.972656,-47.726562,-37.916016,-36.464844
30.000000,-179.500000,-41.945312,-37.621094,-48.851562,-45.650391,-37.707031
31.000000,-179.500000,-42.984375,-38.058594,-61.414062,-43.775391,-72.238281
32.000000,-179.500000,-58.390625,-61.589844,-51.164062,-39.197266,-38.925781
33.000000,-179.500000,-44.765625,-40.277344,-48.757812,-36.994141,-37.207031
34.000000,-179.500000,-42.296875,-38.605469,-48.164062,-36.291016,-36.757812
35.000000,-179.500000,-41.210938,-38.542969,-48.070312,-36.751953,-36.582031
36.000000,-179.500000,-40.953125,-38.535156,-48.164062,-37.947266,-37.408203
37.000000,-179.500000,-41.210938,-38.792969,-48.164062,-40.111328,-39.273438
38.000000,-179.500000,-42.078125,-40.261719,-48.664062,-42.681641,-41.792969
39.000000,-179.500000,-43.921875,-41.855469,-50.476562,-54.650391,-45.800781
40.000000,-179.500000,-43.546875,-43.027344,-60.664062,-45.837891,-53.800781
41.000000,-179.500000,-59.453125,-53.964844,-51.789062,-41.806641,-44.941406
42.000000,-179.500000,-45.359375,-44.183594,-49.664062,-40.103516,-42.390625
43.000000,-179.500000,-42.703125,-41.433594,-49.195312,-39.533203,-40.898438
44.000000,-179.500000,-41.546875,-40.558594,-49.039062,-39.666016,-40.304688
45.000000,-179.500000,-41.375000,-40.058594,-49.226562,-40.455078,-40.532227
46.000000,-179.500000,-41.640625,-40.191406,-49.132812,-41.673828,-41.464844
47.000000,-179.500000,-42.265625,-40.496094,-49.007812,-43.822266,-42.812500
48.000000,-179.500000,-43.312500,-41.308594,-49.101562,-44.525391,-44.378906
49.000000,-179.500000,-44.984375,-42.464844,-49.101562,-56.587891,-45.832031
50.000000,-179.500000,-46.359375,-43.464844,-74.101562,-47.306641,-57.238281
51.000000,-179.500000,-53.765625,-52.214844,-52.539062,-44.119141,-46.457031
52.000000,-179.500000,-51.359375,-48.246094,-51.289062,-42.806641,-44.675781
53.000000,-179.500000,-47.734375,-45.121094,-50.789062,-42.134766,-43.707031
54.000000,-179.500000,-46.250000,-44.371094,-51.039062,-41.900391,-43.164062
55.000000,-179.500000,-45.515625,-43.550781,-51.039062,-42.001953,-42.957031
56.000000,-179.500000,-45.273438,-42.996094,-51.226562,-42.322266,-43.039062
57.000000,-179.500000,-45.250000,-42.769531,-51.070312,-43.009766,-43.519531
58.000000,-179.500000,-45.484375,-43.074219,-51.601562,-43.978516,-44.339844
59.000000,-179.500000,-45.960938,-43.347656,-51.414062,-45.400391,-45.238281
60.000000,-179.500000,-46.828125,-44.136719,-51.101562,-47.025391,-46.160156
61.000000,-179.500000,-47.703125,-44.871094,-51.851562,-50.087891,-47.613281
62.000000,-179.500000,-49.296875,-45.871094,-52.164062,-55.525391,-49.144531
63.000000,-179.500000,-51.734375,-46.464844,-72.726562,-47.556641,-58.613281
64.000000,-179.500000,-53.453125,-48.839844,-55.601562,-45.712891,-49.769531
65.000000,-179.500000,-64.015625,-56.027344,-54.164062,-44.525391,-47.925781
66.000000,-179.500000,-53.484375,-49.621094,-53.351562,-43.900391,-47.050781
67.000000,-179.500000,-51.109375,-47.871094,-53.601562,-43.462891,-46.441406
68.000000,-179.500000,-49.640625,-46.839844,-53.851562,-43.369141,-45.941406
69.000000,-179.500000,-49.015625,-46.292969,-53.914062,-43.462891,-45.636719
70.000000,-179.500000,-48.593750,-45.917969,-54.070312,-43.634766,-45.464844
71.000000,-179.500000,-48.156250,-45.433594,-53.570312,-43.884766,-45.441406
72.000000,-179.500000,-47.929688,-45.261719,-53.507812,-44.306641,-45.527344
73.000000,-179.500000,-47.765625,-45.261719,-53.570312,-44.744141,-45.824219
74.000000,-179.500000,-47.703125,-45.316406,-53.820312,-45.197266,-46.175781
75.000000,-179.500000,-47.695312,-45.378906,-53.820312,-45.681641,-46.597656
76.000000,-179.500000,-47.859375,-45.589844,-53.914062,-46.244141,-47.042969
77.000000,-179.500000,-48.007812,-45.878906,-54.070312,-46.869141,-47.628906
78.000000,-179.500000,-48.125000,-46.144531,-54.226562,-47.525391,-48.160156
79.000000,-179.500000,-48.250000,-46.386719,-54.289062,-48.150391,-48.707031
80.000000,-179.500000,-48.453125,-46.605469,-54.414062,-48.775391,-49.269531
81.000000,-179.500000,-48.593750,-46.902344,-54.664062,-49.494141,-49.910156
82.000000,-179.500000,-48.890625,-47.230469,-55.164062,-50.212891,-50.488281
83.000000,-179.500000,-49.093750,-47.496094,-55.414062,-50.962891,-51.082031
84.000000,-179.500000,-49.187500,-47.714844,-55.664062,-51.775391,-51.519531
85.000000,-179.500000,-49.421875,-48.027344,-56.101562,-52.587891,-52.019531
86.000000,-179.500000,-49.640625,-48.355469,-56.601562,-53.337891,-52.550781
87.000000,-179.500000,-49.765625,-48.527344,-56.789062,-54.025391,-52.863281
88.000000,-179.500000,-49.984375,-48.746094,-57.226562,-54.775391,-53.238281
89.000000,-179.500000,-50.203125,-49.042969,-57.539062,-55.337891,-53.675781
90.000000,-179.500000,-50.359375,-49.230469,-57.851562,-55.525391,-53.925781
91.000000,-179.500000,-50.328125,-49.261719,-57.914062,-55.400391,-53.957031
92.000000,-179.500000,-50.296875,-49.324219,-57.851562,-55.275391,-53.957031
93.000000,-179.500000,-50.296875,-49.417969,-57.914062,-54.962891,-53.925781
94.000000,-179.500000,-50.265625,-49.417969,-57.851562,-54.525391,-53.800781
95.000000,-179.500000,-50.078125,-49.261719,-57.601562,-53.837891,-53.519531
96.000000,-179.500000,-49.890625,-49.167969,-57.351562,-53.275391,-53.253906
97.000000,-179.500000,-49.890625,-49.152344,-57.164062,-52.900391,-52.972656
98.000000,-179.500000,-49.734375,-49.011719,-56.914062,-52.306641,-52.613281
99.000000,-179.500000,-49.515625,-48.761719,-56.476562,-51.744141,-52.144531
100.000000,-179.500000,-49.390625,-48.636719,-56.226562,-51.306641,-51.816406
101.000000,-179.500000,-49.421875,-48.589844,-56.039062,-50.994141,-51.472656
102.000000,-179.500000,-49.375000,-48.527344,-55.914062,-50.650391,-51.152344
103.000000,-179.500000,-49.406250,-48.464844,-55.851562,-50.369141,-50.761719
104.000000,-179.500000,-49.406250,-48.417969,-55.601562,-49.994141,-50.457031
105.000000,-179.500000,-49.593750,-48.480469,-55.414062,-49.822266,-50.144531
106.000000,-179.500000,-49.656250,-48.558594,-55.289062,-49.525391,-49.964844
107.000000,-179.500000,-49.843750,-48.621094,-55.164062,-49.447266,-49.792969
108.000000,-179.500000,-50.125000,-48.855469,-55.039062,-49.306641,-49.824219
109.000000,-179.500000,-50.609375,-49.214844,-54.914062,-49.353516,-49.910156
110.000000,-179.500000,-51.109375,-49.605469,-54.851562,-49.384766,-50.199219
111.000000,-179.500000,-51.578125,-49.839844,-54.601562,-49.462891,-50.511719
112.000000,-179.500000,-51.984375,-50.308594,-54.664062,-49.728516,-51.042969
113.000000,-179.500000,-53.515625,-50.277344,-54.539062,-50.134766,-51.488281
114.000000,-179.500000,-54.640625,-51.339844,-54.289062,-50.244141,-51.988281
115.000000,-179.500000,-66.453125,-60.089844,-55.101562,-50.556641,-52.832031
116.000000,-179.500000,-57.390625,-55.402344,-55.476562,-51.337891,-53.238281
117.000000,-179.500000,-54.671875,-52.589844,-75.539062,-52.337891,-62.925781
118.000000,-179.500000,-52.859375,-51.714844,-57.226562,-59.837891,-54.738281
119.000000,-179.500000,-52.328125,-51.558594,-55.289062,-54.900391,-52.425781
120.000000,-179.500000,-51.687500,-50.917969,-54.289062,-51.181641,-51.144531
121.000000,-179.500000,-51.578125,-50.675781,-53.851562,-49.681641,-50.628906
122.000000,-179.500000,-51.171875,-50.371094,-53.539062,-48.494141,-49.941406
